"year","value","state","stcname","stcgroup","units","base"
1948,0.184,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1950,0.115,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1951,0.112,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1952,0.117,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1953,0.146,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1954,0.12,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1955,0.13,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1956,0.131,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1957,0.123,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1958,0.115,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1959,0.129,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1960,0.118,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1961,0.115,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1962,0.126,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1963,0.12,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1964,0.198,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1965,0.287,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1966,1.461,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1967,1.498,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1968,1.558,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1969,1.492,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1970,1.905,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1971,1.895,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1972,2.029,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1973,2.178,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1974,2.446,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1975,2.483,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1976,2.961,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1977,2.409,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1978,2.654,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1979,3.021,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1980,0.316,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1981,2.157,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1982,4.259,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1983,1.702,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1984,1.849,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1985,2.382,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
1986,1.431,"AL","Alcohol","License Taxes","Million Dollars","Nominal"
