"year","value","state","item","units","base"
1948,2.616975,"AL","Total Personal Income","Billion Dollars","Nominal"
1949,2.51345,"AL","Total Personal Income","Billion Dollars","Nominal"
1950,2.811325,"AL","Total Personal Income","Billion Dollars","Nominal"
1951,3.2772,"AL","Total Personal Income","Billion Dollars","Nominal"
1952,3.486975,"AL","Total Personal Income","Billion Dollars","Nominal"
1953,3.642775,"AL","Total Personal Income","Billion Dollars","Nominal"
1954,3.5165,"AL","Total Personal Income","Billion Dollars","Nominal"
1955,3.9803,"AL","Total Personal Income","Billion Dollars","Nominal"
1956,4.2699,"AL","Total Personal Income","Billion Dollars","Nominal"
1957,4.5385,"AL","Total Personal Income","Billion Dollars","Nominal"
1958,4.732825,"AL","Total Personal Income","Billion Dollars","Nominal"
1959,4.977,"AL","Total Personal Income","Billion Dollars","Nominal"
1960,5.18825,"AL","Total Personal Income","Billion Dollars","Nominal"
1961,5.3601,"AL","Total Personal Income","Billion Dollars","Nominal"
1962,5.6341,"AL","Total Personal Income","Billion Dollars","Nominal"
1963,5.98405,"AL","Total Personal Income","Billion Dollars","Nominal"
1964,6.497575,"AL","Total Personal Income","Billion Dollars","Nominal"
1965,7.052425,"AL","Total Personal Income","Billion Dollars","Nominal"
1966,7.56385,"AL","Total Personal Income","Billion Dollars","Nominal"
1967,7.991775,"AL","Total Personal Income","Billion Dollars","Nominal"
1968,8.73745,"AL","Total Personal Income","Billion Dollars","Nominal"
1969,9.7377,"AL","Total Personal Income","Billion Dollars","Nominal"
1970,10.628325,"AL","Total Personal Income","Billion Dollars","Nominal"
1971,11.699325,"AL","Total Personal Income","Billion Dollars","Nominal"
1972,12.999075,"AL","Total Personal Income","Billion Dollars","Nominal"
1973,14.638875,"AL","Total Personal Income","Billion Dollars","Nominal"
1974,16.24105,"AL","Total Personal Income","Billion Dollars","Nominal"
1975,18.1001,"AL","Total Personal Income","Billion Dollars","Nominal"
1976,20.32405,"AL","Total Personal Income","Billion Dollars","Nominal"
1977,22.394875,"AL","Total Personal Income","Billion Dollars","Nominal"
1978,25.339925,"AL","Total Personal Income","Billion Dollars","Nominal"
1979,28.150825,"AL","Total Personal Income","Billion Dollars","Nominal"
1980,31.04435,"AL","Total Personal Income","Billion Dollars","Nominal"
1981,34.454175,"AL","Total Personal Income","Billion Dollars","Nominal"
1982,36.38465,"AL","Total Personal Income","Billion Dollars","Nominal"
1983,38.97885,"AL","Total Personal Income","Billion Dollars","Nominal"
1984,42.838025,"AL","Total Personal Income","Billion Dollars","Nominal"
1985,46.0858,"AL","Total Personal Income","Billion Dollars","Nominal"
1986,48.7772,"AL","Total Personal Income","Billion Dollars","Nominal"
1987,51.514375,"AL","Total Personal Income","Billion Dollars","Nominal"
1988,55.527325,"AL","Total Personal Income","Billion Dollars","Nominal"
1989,60.350975,"AL","Total Personal Income","Billion Dollars","Nominal"
1990,64.2342,"AL","Total Personal Income","Billion Dollars","Nominal"
1991,67.982475,"AL","Total Personal Income","Billion Dollars","Nominal"
1992,73.00445,"AL","Total Personal Income","Billion Dollars","Nominal"
1993,76.346075,"AL","Total Personal Income","Billion Dollars","Nominal"
1994,80.78675,"AL","Total Personal Income","Billion Dollars","Nominal"
1995,85.39385,"AL","Total Personal Income","Billion Dollars","Nominal"
1996,89.21805,"AL","Total Personal Income","Billion Dollars","Nominal"
1997,93.85185,"AL","Total Personal Income","Billion Dollars","Nominal"
1998,99.77285,"AL","Total Personal Income","Billion Dollars","Nominal"
1999,103.204075,"AL","Total Personal Income","Billion Dollars","Nominal"
2000,108.002925,"AL","Total Personal Income","Billion Dollars","Nominal"
2001,111.89415,"AL","Total Personal Income","Billion Dollars","Nominal"
2002,115.007675,"AL","Total Personal Income","Billion Dollars","Nominal"
2003,120.241,"AL","Total Personal Income","Billion Dollars","Nominal"
2004,128.60625,"AL","Total Personal Income","Billion Dollars","Nominal"
2005,136.0875,"AL","Total Personal Income","Billion Dollars","Nominal"
2006,144.719025,"AL","Total Personal Income","Billion Dollars","Nominal"
2007,151.942575,"AL","Total Personal Income","Billion Dollars","Nominal"
2008,157.78035,"AL","Total Personal Income","Billion Dollars","Nominal"
2009,155.666925,"AL","Total Personal Income","Billion Dollars","Nominal"
2010,162.06885,"AL","Total Personal Income","Billion Dollars","Nominal"
2011,167.8822,"AL","Total Personal Income","Billion Dollars","Nominal"
2012,172.10145,"AL","Total Personal Income","Billion Dollars","Nominal"
2013,173.720675,"AL","Total Personal Income","Billion Dollars","Nominal"
2014,179.4871,"AL","Total Personal Income","Billion Dollars","Nominal"
2015,187.47475,"AL","Total Personal Income","Billion Dollars","Nominal"
2016,190.871825,"AL","Total Personal Income","Billion Dollars","Nominal"
2017,197.963775,"AL","Total Personal Income","Billion Dollars","Nominal"
2018,205.674175,"AL","Total Personal Income","Billion Dollars","Nominal"
2019,215.151775,"AL","Total Personal Income","Billion Dollars","Nominal"
2020,230.73215,"AL","Total Personal Income","Billion Dollars","Nominal"
2021,254.960425,"AL","Total Personal Income","Billion Dollars","Nominal"
